format,path,dist,M,N,K,tile,tflops_median,tflops_min,tflops_max,tflops_mean,ms_median,rel,maxabs,p99,n_runs
CUBLAS_FP16,REF,"U(-1,1)",2048,7168,7168,cublas,98.460,86.070,98.680,96.030,2.1370,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",64,7168,7168,cublas,21.720,19.610,22.050,21.356,0.3030,0.0e+0,0.0e+0,0.0e+0,5
INT8,LUT,"U(-1,1)",2048,7168,7168,16x64x32_w4,5.240,5.130,5.250,5.220,40.1610,2.594e-04,3.975e-02,1.811e-02,5
INT8,BITSHIFT,"U(-1,1)",2048,7168,7168,16x64x32_w4,3.460,3.430,3.520,3.464,60.8640,1.846e-04,2.817e-02,1.329e-02,5
INT8,LUT,"U(-1,1)",2048,7168,7168,16x128x32_w8,5.050,5.010,5.060,5.044,41.7000,2.594e-04,3.975e-02,1.811e-02,5
INT8,BITSHIFT,"U(-1,1)",2048,7168,7168,16x128x32_w8,3.650,3.640,3.690,3.658,57.6760,1.846e-04,2.817e-02,1.329e-02,5
INT8,LUT,"U(-1,1)",2048,7168,7168,16x128x32_w4f2,5.590,5.510,5.590,5.568,37.6760,2.594e-04,3.975e-02,1.811e-02,5
INT8,LUT,"U(-1,1)",2048,7168,7168,16x256x32_w4f4,3.650,3.650,3.660,3.654,57.5820,2.594e-04,3.975e-02,1.811e-02,5
INT8,LUT,"U(-1,1)",2048,7168,7168,128x64x32_w4_v1,12.370,12.350,12.380,12.368,17.0080,2.594e-04,3.975e-02,1.811e-02,5
INT8,LUT,"U(-1,1)",2048,7168,7168,128x128x32_w4_v1,9.700,9.690,9.700,9.698,21.7040,2.594e-04,3.975e-02,1.811e-02,5
INT8,LUT,"U(-1,1)",2048,7168,7168,128x256x32_w4_v1,5.650,5.640,5.650,5.648,37.2600,2.594e-04,3.975e-02,1.811e-02,5
INT8,LUT,"U(-1,1)",2048,7168,7168,128x256x32_w8_v1,10.400,10.400,10.410,10.402,20.2310,2.594e-04,3.975e-02,1.811e-02,5
INT8,LUT,"U(-1,1)",2048,7168,7168,64x64x32_w4_v1,11.010,10.990,11.040,11.012,19.1070,2.594e-04,3.975e-02,1.811e-02,5
