
NOTICE: Existing SQLite export found: docs/nsys/SPRINT-019-P0-v11-M2048.sqlite
        It is assumed file was previously exported from: docs/nsys/SPRINT-019-P0-v11-M2048.nsys-rep
        Consider using --force-export=true if needed.

Processing [docs/nsys/SPRINT-019-P0-v11-M2048.sqlite] with [/opt/nvidia/nsight-compute/2023.2.2/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
3.8,1125907518,149,7556426.3,7551280.0,7351535,8118542,102114.1,"tc_grid::k_stats_single_block(const float *, const float *, float *, double *, double *, unsigned long)"
2.6,785671841,11,71424712.8,71421041.0,71288465,71582289,81042.1,"void tc_grid::kernels::fp8_b::mm_f8_e4m3_b128_post_scale<(int)16, (int)128, (int)32, (int)8>(const unsigned char *, const float *, float *, int, int, int)"
2.5,727310764,11,66119160.4,66161177.0,65723738,66193369,136550.1,"void tc_grid::kernels::fp4_b::mm_mxfp4_post_scale<(int)16, (int)128, (int)32, (int)8>(const unsigned char *, const float *, float *, int, int, int)"
2.4,725843164,11,65985742.2,65992283.0,65923930,66055514,50018.5,"void tc_grid::kernels::fp8_b::mm_f8_e4m3_b128_post_scale<(int)16, (int)64, (int)32, (int)4>(const unsigned char *, const float *, float *, int, int, int)"
2.3,677858826,11,61623529.6,61628705.0,61408642,61964832,193384.6,"void tc_grid::kernels::fp4_b::mm_mxfp4_post_scale<(int)16, (int)64, (int)32, (int)4>(const unsigned char *, const float *, float *, int, int, int)"
2.2,661352876,11,60122988.7,60823001.0,56452067,60874778,1572818.4,"void tc_grid::kernels::int8::mm_int8_bitshift<(int)16, (int)64, (int)32, (int)4>(const signed char *, const __half *, const float *, float *, int, int, int)"
2.2,647902091,11,58900190.1,58869867.0,58827051,59066087,74606.5,"void tc_grid::kernels::fp8::mm_f8_e4m3_b128_lut<(int)16, (int)128, (int)32, (int)8>(const unsigned char *, const float *, float *, int, int, int)"
2.1,634227491,11,57657044.6,57812902.0,56336233,57816133,444039.8,"void tc_grid::kernels::int4_b::mm_int4_bitshift<(int)16, (int)128, (int)32, (int)8>(const unsigned char *, const __half *, const float *, float *, int, int, int)"
2.1,633307752,11,57573432.0,57578849.0,57509281,57635616,38767.5,"void tc_grid::kernels::int8_mf::mm_int8_lut_mf<(int)16, (int)256, (int)32, (int)4, (int)4>(const signed char *, const __half *, const float *, float *, int, int, int)"
2.1,627213942,11,57019449.3,57319201.0,53638985,57960928,1183090.9,"void tc_grid::kernels::int8::mm_int8_bitshift<(int)16, (int)128, (int)32, (int)8>(const signed char *, const __half *, const float *, float *, int, int, int)"
