format,path,dist,M,N,K,tile,tflops_median,tflops_min,tflops_max,tflops_mean,ms_median,rel,maxabs,p99,n_runs
CUBLAS_FP16,REF,"U(-1,1)",1,7168,7168,cublas,0.570,0.550,0.570,0.566,0.1800,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",8,7168,7168,cublas,4.290,4.230,4.330,4.284,0.1920,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",32,7168,7168,cublas,15.090,14.680,15.180,15.036,0.2180,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",64,7168,7168,cublas,20.190,18.690,20.300,19.848,0.3260,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",256,7168,7168,cublas,56.310,55.940,59.360,56.922,0.4670,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",1024,7168,7168,cublas,95.170,85.310,96.470,93.526,1.1060,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",2048,7168,7168,cublas,98.430,86.520,98.810,96.144,2.1380,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",4096,7168,7168,cublas,98.070,86.650,98.670,95.514,4.2920,0.0e+0,0.0e+0,0.0e+0,5
INT8,LUT,"U(-1,1)",1,7168,7168,16x64x32_w4,0.070,0.060,0.070,0.068,1.4770,2.590e-04,2.655e-02,1.872e-02,5
INT8,BITSHIFT,"U(-1,1)",1,7168,7168,16x64x32_w4,0.130,0.110,0.130,0.126,0.7960,1.818e-04,1.871e-02,1.282e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,16x128x32_w8,0.070,0.070,0.070,0.070,1.4360,2.590e-04,2.655e-02,1.872e-02,5
INT8,BITSHIFT,"U(-1,1)",1,7168,7168,16x128x32_w8,0.120,0.120,0.130,0.122,0.8270,1.818e-04,1.871e-02,1.282e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,16x128x32_w4f2,0.040,0.040,0.040,0.040,2.5390,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,16x256x32_w4f4,0.020,0.020,0.020,0.020,4.7720,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x64x32_w4_v1,0.050,0.040,0.050,0.048,2.1940,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x128x32_w4_v1,0.040,0.030,0.040,0.038,2.9190,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x256x32_w4_v1,0.020,0.020,0.020,0.020,6.5610,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x256x32_w8_v1,0.030,0.030,0.030,0.030,3.2870,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,64x64x32_w4_v1,0.060,0.060,0.060,0.060,1.7170,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,64x128x32_w4_v1,0.040,0.040,0.040,0.040,2.6550,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x64x32_w4_v2,0.090,0.090,0.090,0.090,1.1180,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x128x32_w4_v2,0.110,0.110,0.110,0.110,0.9730,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x256x32_w4_v2,0.050,0.050,0.050,0.050,2.2030,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x256x32_w8_v2,0.070,0.070,0.070,0.070,1.3770,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,64x64x32_w4_v2,0.140,0.140,0.140,0.140,0.7310,2.590e-04,2.655e-02,1.872e-02,5
