M,N,K,v12_tile,v12_tflops,fp16_tflops,v12_pct_of_fp16
64,4096,4096,64x128x16_w4_v12s_ks8,20.79,29.54,70.4%
64,7168,7168,64x128x32_w4_v12s_ks8,21.53,38.92,55.3%
64,7168,18944,64x128x32_w4_v12_ms3,15.64,44.09,35.5%
64,18944,7168,64x128x32_w4_v12_ms3,25.52,47.41,53.8%
128,4096,4096,64x128x32_w4_v12s_ks8,23.27,46.60,49.9%
128,7168,7168,64x128x32_w4_v12s_ks8,26.53,59.19,44.8%
128,7168,18944,64x128x32_w4_v12s_ks8,27.38,73.64,37.2%
128,18944,7168,128x128x32_w4_v12_ms3,34.03,84.24,40.4%
256,4096,4096,64x128x32_w4_v12s_ks8,26.05,66.64,39.1%
256,7168,7168,64x128x16_w4_v12_ms3,31.08,70.19,44.3%
256,7168,18944,64x128x32_w4_v12_ms3,30.10,85.08,35.4%
256,18944,7168,128x128x32_w4_v12_ms3,34.33,89.69,38.3%
512,4096,4096,128x128x16_w4_v12_ms3,33.30,80.85,41.2%
512,7168,7168,64x128x32_w4_v12_ms3,30.52,80.16,38.1%
512,7168,18944,64x128x32_w4_v12_ms3,30.16,93.78,32.2%
512,18944,7168,128x128x32_w4_v12_ms3,34.50,88.23,39.1%
1024,4096,4096,128x128x16_w4_v12_ms3,33.60,80.27,41.9%
1024,7168,7168,128x128x16_w4_v12_ms3,38.90,91.18,42.7%
1024,7168,18944,128x128x16_w4_v12_ms3,37.87,93.62,40.5%
1024,18944,7168,128x128x32_w4_v12_ms3,34.39,101.08,34.0%
2048,4096,4096,128x128x16_w4_v12_ms3,33.66,95.70,35.2%
2048,7168,7168,128x128x16_w4_v12_ms3,38.95,87.05,44.7%
2048,7168,18944,128x256x16_w8_v12_ms3,37.11,92.01,40.3%
2048,18944,7168,128x128x32_w4_v12_ms3,36.07,101.53,35.5%
