format,path,dist,M,N,K,tile,tflops_median,tflops_min,tflops_max,tflops_mean,ms_median,rel,maxabs,p99,n_runs
CUBLAS_FP16,REF,"U(-1,1)",1,7168,7168,cublas,0.570,0.560,0.570,0.568,0.1820,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",8,7168,7168,cublas,4.280,4.180,4.330,4.274,0.1920,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",32,7168,7168,cublas,15.090,14.680,15.260,15.040,0.2180,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",64,7168,7168,cublas,20.020,18.970,20.240,19.778,0.3290,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",256,7168,7168,cublas,56.450,55.380,56.980,56.280,0.4660,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",1024,7168,7168,cublas,95.560,85.420,95.810,93.570,1.1010,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",2048,7168,7168,cublas,98.710,86.710,99.030,96.362,2.1320,0.0e+0,0.0e+0,0.0e+0,5
CUBLAS_FP16,REF,"U(-1,1)",4096,7168,7168,cublas,98.160,89.470,98.600,96.328,4.2880,0.0e+0,0.0e+0,0.0e+0,5
INT8,LUT,"U(-1,1)",1,7168,7168,16x64x32_w4,0.070,0.070,0.070,0.070,1.4870,2.590e-04,2.655e-02,1.872e-02,5
INT8,BITSHIFT,"U(-1,1)",1,7168,7168,16x64x32_w4,0.130,0.120,0.130,0.128,0.7980,1.818e-04,1.871e-02,1.282e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,16x128x32_w8,0.070,0.070,0.070,0.070,1.4350,2.590e-04,2.655e-02,1.872e-02,5
INT8,BITSHIFT,"U(-1,1)",1,7168,7168,16x128x32_w8,0.120,0.120,0.120,0.120,0.8260,1.818e-04,1.871e-02,1.282e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,16x128x32_w4f2,0.040,0.040,0.040,0.040,2.5410,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,16x256x32_w4f4,0.020,0.020,0.020,0.020,4.7880,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x64x32_w4_v1,0.050,0.050,0.050,0.050,2.1920,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x128x32_w4_v1,0.040,0.040,0.040,0.040,2.9210,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x256x32_w4_v1,0.020,0.020,0.020,0.020,6.5600,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x256x32_w8_v1,0.030,0.030,0.030,0.030,3.2880,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,64x64x32_w4_v1,0.060,0.060,0.060,0.060,1.7180,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,64x128x32_w4_v1,0.040,0.040,0.040,0.040,2.6540,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x64x32_w4_v2,0.090,0.090,0.090,0.090,1.1180,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x128x32_w4_v2,0.110,0.110,0.110,0.110,0.9720,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x256x32_w4_v2,0.050,0.050,0.050,0.050,2.2000,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x256x32_w8_v2,0.070,0.070,0.070,0.070,1.3780,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,64x64x32_w4_v2,0.140,0.140,0.140,0.140,0.7310,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,64x128x32_w4_v2,0.150,0.150,0.150,0.150,0.6770,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x64x32_w4_v3,0.110,0.110,0.110,0.110,0.8980,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,128x128x32_w4_v3,0.130,0.130,0.130,0.130,0.7990,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,64x64x32_w4_v3,0.170,0.170,0.170,0.170,0.6150,2.590e-04,2.655e-02,1.872e-02,5
INT8,LUT,"U(-1,1)",1,7168,7168,64x128x32_w4_v3,0.180,0.180,0.180,0.180,0.5710,2.590e-04,2.655e-02,1.872e-02,5
